Urea,Melamine,Dcda,PM(g),Time(h),Heat(℃),HR(℃/min),element1,element2,hata,modefiy,dope,ratio(%),load(g),area(cm2),NO(ppm),rate(mL/min),Xe,Wu,LED,Intensity(W),BET(m2/g),Eg(eV),NO2(%),NO(%)
0,1,0,10,4,500,5,,,0,0,0,0,0.08,50,21,200,1,0,0,300,13.2,2.69,51.8,47.5
0,1,0,10,4,500,5,Pd,,0,0,1,0.3,0.08,50,21,200,1,0,0,300,21.9624092,2.68,74.5,78.1
0,1,0,10,4,500,5,Pd,,0,0,1,0.6,0.08,50,21,200,1,0,0,300,27.89855254,2.66,79.3,88.9
0,1,0,10,4,500,5,Pd,,0,0,1,1.8,0.08,50,21,200,1,0,0,300,20.87108474,2.66,71.9,80
0,1,0,10,4,500,5,Pd,,0,0,1,6,0.08,50,21,200,1,0,0,300,19.20273294,2.63,67.3,55.3
0,1,0,10,4,500,5,,,0,0,0,0,0.08,50,12,200,0,0,1,30,13.2,2.69,61.5,61.7
0,1,0,10,4,500,5,Pd,,0,0,1,0.3,0.08,50,12,200,0,0,1,30,15.94404866,2.68,76.4,83.2
0,1,0,10,4,500,5,Pd,,0,0,1,0.6,0.08,50,12,200,0,0,1,30,16.42153572,2.66,78.2,92.9
0,1,0,10,4,500,5,Pd,,0,0,1,1.8,0.08,50,12,200,0,0,1,30,17.08219931,2.66,80.5,91.4
0,1,0,10,4,500,5,Pd,,0,0,1,6,0.08,50,12,200,0,0,1,30,16.5586089,2.63,73.7,79.7
1,0,0,20,2,600,5,,,0,0,0,0,0.02,26.42,2.2,1700,1,0,0,300,51.51357101,2.7,38.65,12.7
1,0,0,20,2,600,5,Pd,,1,0,0,0.5,0.02,26.42,2.2,1700,1,0,0,300,52.27744814,2.699848222,39.61,31.9
0,1,0,11.60696448,2,550,5,,,0,0,0,0,0.3,63.62,1,1000,0,1,0,150,3.0921,2.71,6.82,16.06
0,1,0,10.30340605,2,550,5,Na,Ca,0,1,0,16.67,0.3,63.62,1,1000,0,1,0,150,16.97215789,2.745910457,8.38,23.74
0,1,0,10.05033375,2,550,5,Na,Ca,0,1,0,33.33,0.3,63.62,1,1000,0,1,0,150,17.22962539,2.758549287,7.13,27.69
0,1,0,10.44984563,2,550,5,Na,Ca,0,1,0,50,0.3,63.62,1,1000,0,1,0,150,5.999,2.722285014,5.05,32.61
0,1,0,8.226096592,2,550,5,Na,Ca,0,1,0,66.67,0.3,63.62,1,1000,0,1,0,150,14.85885056,2.687098294,3.38,37.61
0,1,0,9.284932417,2,550,5,Na,Ca,0,1,0,100,0.3,63.62,1,1000,0,1,0,150,7.7302,2.67,2.38,39.72
0,1,0,7.447898545,2,550,5,Na,Ca,0,1,0,133.32,0.3,63.62,1,1000,0,1,0,150,19.29651651,2.660365987,1.58,35.11
0,1,0,7.8626378,2,550,5,Na,,0,1,0,100,0.3,63.62,1,1000,0,1,0,150,7.841520739,2.81,4.33,32
0,1,0,7.831159449,2,550,5,Ca,,0,1,0,100,0.3,63.62,1,1000,0,1,0,150,8.117791505,2.49,6.02,28.62
0,1,0,4,3,550,20,,,0,0,0,0,0.125893992,20,1,3000,0,0,1,15,9.64,2.68,47.8,14.1
0,1,0,3.8,3,550,20,CaCO3,,1,0,0,12.32,0.11836827,20,1,3000,0,0,1,15,11.56,2.51,11.21,15.34
0,1,0,3.6,3,550,20,CaCO3,,1,0,0,26.42,0.118072122,20,1,3000,0,0,1,15,10.14,2.44,4.11,14.83
0,1,0,0.8,3,550,20,CaCO3,TiO2,1,0,0,671.01,0.163199558,20,1,3000,0,0,1,15,55.4,2.98,44.72,27.91
0,1,0,0.8,3,550,20,CaCO3,TiO2,1,0,0,671.1,0.163324654,20,1,3000,0,0,1,15,50.16,2.93,13.49,26.01
0,1,0,0.8,3,550,20,CaCO3,TiO2,1,0,0,902,0.172078457,20,1,3000,0,0,1,15,48.44,2.95,6.36,22.94
0,1,0,6,3,550,11.26570502,,,0,0,0,0,0.13628406,109.1894673,1,2227.3277,0,1,0,250,51.52508112,2.716539908,29.55595721,55.5
0,1,0,6,3,550,13.25047832,Fe,,0,0,1,13.2,0.149466394,113.1,1,2271.661421,0,1,0,250,60.56409185,2.679629129,28.49315152,78.5
0,1,0,6,3,550,13.24971017,Fe,C10O1,0,0,1,13.32,0.149461517,113.0999924,1,2271.657631,0,1,0,250,60.56686345,2.679629504,28.49145566,65.86
0,1,0,6,3,550,13.24661651,Fe,C10O1,0,0,1,13.81,0.149441819,113.0999936,1,2271.641988,0,1,0,250,60.57824466,2.679630969,28.48452534,93.44
