iter	RMSE
0	18.41367056
1	18.15643553
2	17.91216577
3	17.6721213
4	17.38751544
5	17.22207526
6	17.01325349
7	16.83014505
8	16.66284344
9	16.41908239
10	16.24895962
11	16.04844704
12	15.85249078
13	15.67258029
14	15.51131803
15	15.35075169
16	15.18526319
17	15.0023822
18	14.85472186
19	14.68107851
20	14.50739263
21	14.35777728
22	14.26736367
23	14.11355472
24	13.96731668
25	13.84370119
26	13.69660794
27	13.59746742
28	13.50724472
29	13.4067885
30	13.2894863
31	13.14912205
32	13.0404396
33	12.93875123
34	12.8168964
35	12.68635996
36	12.60841805
37	12.5197236
38	12.42029995
39	12.28483334
40	12.20528269
41	12.13223651
42	12.04375958
43	11.98987328
44	11.92490928
45	11.85815301
46	11.8007734
47	11.73448256
48	11.66674315
49	11.59553887
50	11.54889986
51	11.44749048
52	11.28351506
53	11.24236657
54	11.15535247
55	11.07570801
56	10.99796346
57	10.91712531
58	10.86597321
59	10.81657064
60	10.77741354
61	10.6543054
62	10.59456406
63	10.49379855
64	10.44589613
65	10.40801371
66	10.35845592
67	10.31001729
68	10.24128064
69	10.19103195
70	10.09503163
71	10.05759643
72	10.01371177
73	9.965762174
74	9.926718656
75	9.878029313
76	9.809475597
77	9.776565827
78	9.75144784
79	9.701485038
80	9.669459208
81	9.585885458
82	9.518689422
83	9.477622856
84	9.422050146
85	9.385038858
86	9.333817791
87	9.290953417
88	9.264301724
89	9.216612239
90	9.198158071
91	9.156832572
92	9.122447218
93	9.099012753
94	9.059201749
95	9.018533382
96	8.96798605
97	8.91562474
98	8.850262218
99	8.774849716
100	8.740752996
101	8.692145012
102	8.650125523
103	8.624878865
104	8.594226564
105	8.555896104
106	8.530556385
107	8.47477283
108	8.45745111
109	8.404585061
110	8.369348374
111	8.321539493
112	8.287734698
113	8.267760063
114	8.234372576
115	8.193466681
116	8.139380425
117	8.114534971
118	8.074823142
119	8.027050102
120	7.986155546
121	7.929481122
122	7.893314107
123	7.82870989
124	7.801911474
125	7.772330311
126	7.72273292
127	7.706979243
128	7.674099039
129	7.653120438
130	7.62408394
131	7.606886878
132	7.591969602
133	7.539641869
134	7.523488513
135	7.515521268
136	7.473367129
137	7.422330558
138	7.400675825
139	7.343525753
140	7.336555809
141	7.30272103
142	7.258639727
143	7.247631638
144	7.218336669
145	7.158532963
146	7.130492266
147	7.09992883
148	7.078873901
149	7.043185873
150	7.008209767
151	6.980687714
152	6.938451791
153	6.933317765
154	6.894610157
155	6.843522806
156	6.796425337
157	6.768175598
158	6.757492184
159	6.750299421
160	6.743527174
161	6.713539178
162	6.681077083
163	6.659683563
164	6.613612164
165	6.606572065
166	6.575678643
167	6.551624126
168	6.543462351
169	6.517809701
170	6.484017689
171	6.473149375
172	6.462457721
173	6.433483107
174	6.397310779
175	6.391361241
176	6.383355806
177	6.341153656
178	6.311812801
179	6.297945549
180	6.268720668
181	6.218937744
182	6.213864626
183	6.20530704
184	6.172086238
185	6.166151124
186	6.161689242
187	6.153338186
188	6.117361096
189	6.07675072
190	6.061317455
191	6.039373135
192	5.990995105
193	5.952141229
194	5.907073993
195	5.892588192
196	5.85035294
197	5.840877787
198	5.805932061
199	5.771195235
200	5.737352035
201	5.720693003
202	5.702881419
203	5.694156498
204	5.657329531
205	5.65393498
206	5.622497267
207	5.599130638
208	5.567770547
209	5.525032048
210	5.52221644
211	5.506802172
212	5.480749424
213	5.475423733
