iter	Passed	Remaining
0	0	580
1	1	500
2	1	462
3	1	434
4	2	414
5	2	400
6	3	387
7	3	381
8	3	378
9	4	376
10	4	371
11	5	370
12	5	366
13	5	362
14	6	359
15	6	355
16	6	352
17	7	349
18	7	348
19	7	346
20	8	345
21	8	343
22	9	343
23	9	341
24	9	339
25	10	338
26	10	337
27	10	335
28	11	335
29	11	334
30	11	333
31	12	332
32	12	331
33	13	331
34	13	330
35	13	328
36	14	328
37	14	327
38	14	330
39	15	329
40	15	329
41	16	327
42	16	327
43	16	326
44	17	326
45	17	325
46	17	325
47	18	325
48	18	324
49	19	323
50	19	323
51	19	322
52	20	321
53	20	321
54	20	321
55	21	320
56	21	319
57	22	319
58	22	318
59	22	318
60	23	317
61	23	316
62	23	316
63	24	315
64	24	315
65	24	315
66	25	314
67	25	314
68	26	314
69	26	313
70	26	313
71	27	312
72	27	311
73	27	310
74	28	310
75	28	310
76	28	309
77	29	309
78	29	308
79	30	307
80	30	307
81	30	306
82	31	306
83	31	305
84	31	305
85	32	304
86	32	304
87	32	303
88	33	303
89	33	303
90	34	302
91	34	302
92	34	301
93	35	301
94	35	301
95	35	301
96	36	300
97	36	300
98	37	299
99	37	299
100	37	298
101	38	298
102	38	297
103	38	297
104	39	297
105	39	297
106	40	297
107	40	297
108	40	297
109	41	296
110	41	296
111	42	295
112	42	295
113	42	294
114	43	294
115	43	293
116	43	293
117	44	292
118	44	292
119	44	292
120	45	291
121	45	291
122	46	290
123	46	290
124	46	289
125	47	289
126	47	289
127	47	288
128	48	288
129	48	287
130	48	287
131	49	286
132	49	286
133	49	285
134	50	285
135	50	284
136	51	284
137	51	283
138	51	283
139	52	282
140	52	282
141	52	282
142	53	281
143	53	281
144	54	281
145	54	281
146	54	281
147	55	280
148	55	280
149	55	279
150	56	279
151	56	278
152	57	278
153	57	278
154	57	277
155	58	277
156	58	276
157	58	276
158	59	275
159	59	275
160	59	275
161	60	274
162	60	274
163	61	273
164	61	273
165	61	272
166	62	272
167	62	272
168	62	271
169	63	271
170	63	270
171	63	270
172	64	270
173	64	269
174	65	269
175	65	269
176	65	268
177	66	268
178	66	268
179	67	268
180	67	268
181	67	267
182	68	267
183	68	267
184	69	266
185	69	266
186	69	266
187	70	265
188	70	265
189	70	265
190	71	264
191	71	264
192	72	263
193	72	263
194	72	263
195	73	262
196	73	262
197	73	261
198	74	261
199	74	261
200	75	260
201	75	260
202	75	260
203	76	259
204	76	259
205	76	258
206	77	258
207	77	258
208	78	258
209	78	257
210	78	257
211	79	256
212	79	256
213	79	256
214	80	255
215	80	255
216	80	254
217	81	254
218	81	254
219	82	253
220	82	253
221	82	252
222	83	252
223	83	252
224	83	251
225	84	251
226	84	251
227	85	250
228	85	250
229	85	249
230	86	249
231	86	249
232	86	248
233	87	248
234	87	247
235	87	247
236	88	247
237	88	246
238	89	246
239	89	246
240	89	246
241	90	245
242	90	245
243	91	245
244	91	244
245	91	244
246	92	244
247	92	243
248	92	243
249	93	242
250	93	242
251	94	241
252	94	241
253	94	241
254	95	240
255	95	240
256	95	239
257	96	239
258	96	239
259	96	238
260	97	238
261	97	237
262	98	237
263	98	237
264	98	236
265	99	236
266	99	236
267	99	235
268	100	235
269	100	234
270	101	234
271	101	234
272	101	233
273	102	233
274	102	232
275	102	232
276	103	232
277	103	232
278	104	231
279	104	231
280	104	230
281	105	230
282	105	230
283	105	229
284	106	229
285	106	228
286	106	228
287	107	227
288	107	227
289	107	227
290	108	226
291	108	226
292	109	226
293	109	225
294	109	225
295	110	225
296	110	224
297	111	224
298	111	223
299	111	223
300	112	223
301	112	222
302	112	222
303	113	221
304	113	221
305	113	221
306	114	220
307	114	220
308	115	220
309	115	219
310	115	219
311	116	219
312	116	218
313	117	218
314	117	217
315	117	217
316	118	217
317	118	216
318	118	216
319	119	216
320	119	215
321	119	215
322	120	214
323	120	214
324	120	213
325	121	213
326	121	213
327	122	212
328	122	212
329	122	212
330	123	211
331	123	211
332	124	211
333	124	210
334	124	210
335	125	209
336	125	209
337	125	209
338	126	208
339	126	208
340	126	208
341	127	207
342	127	207
343	128	207
344	128	207
345	129	206
346	129	206
347	129	205
348	130	205
349	130	205
350	130	204
351	131	204
352	131	204
353	132	203
354	132	203
355	132	202
356	133	202
357	133	202
358	133	201
359	134	201
360	134	201
361	135	200
362	135	200
363	135	199
364	136	199
365	136	199
366	136	198
367	137	198
368	137	198
369	138	197
370	138	197
371	138	196
372	139	196
373	139	196
374	140	196
375	140	195
376	140	195
377	141	195
378	141	194
379	141	194
380	142	193
381	142	193
382	143	193
383	143	192
384	143	192
385	144	191
386	144	191
387	144	191
388	145	190
389	145	190
390	145	189
391	146	189
392	146	189
393	146	188
394	147	188
395	147	187
396	148	187
397	148	187
398	148	186
399	149	186
400	149	185
401	149	185
402	150	185
403	150	184
404	150	184
405	151	183
406	151	183
407	151	183
408	152	182
409	152	182
410	153	182
411	153	181
412	153	181
413	154	181
414	154	180
415	154	180
416	155	179
417	155	179
418	155	179
419	156	178
420	156	178
421	157	177
422	157	177
423	157	177
424	158	176
425	158	176
426	158	175
427	159	175
428	159	175
429	159	174
430	160	174
431	160	173
432	160	173
433	161	173
434	161	172
435	162	172
436	162	172
437	162	171
438	163	171
439	163	170
440	163	170
441	164	170
442	164	169
443	165	169
444	165	169
445	165	168
446	166	168
447	166	167
448	166	167
449	167	167
450	167	167
451	168	166
452	168	166
453	168	165
454	169	165
455	169	165
456	169	164
457	170	164
458	170	163
459	170	163
460	171	163
461	171	162
462	172	162
463	172	162
464	172	161
465	173	161
466	173	160
467	173	160
468	174	160
469	174	159
470	174	159
471	175	158
472	175	158
473	175	158
474	176	157
475	176	157
476	177	157
477	177	156
478	178	156
479	178	156
480	179	155
481	179	155
482	179	155
