Urea,Melamine,Dcda,PM(g),Time(h),Heat(℃),HR(℃/min),hata,modefiy,dope,ratio(%),load(g),area(cm2),NO(ppm),rate(mL/min),Xe,Wu,LED,Intensity(W),BET(m2/g),Eg(eV),NO2(%),NO(%)
0,1,0,10.0,4.0,500,5.0,0,0,0,0.0,0.08,50.0,21.0,200.0,1,0,0,300,13.2,2.69,51.8,47.5
0,1,0,10.0,4.0,500,5.0,0,0,1,0.3,0.08,50.0,21.0,200.0,1,0,0,300,21.9624092,2.68,74.5,78.1
0,1,0,10.0,4.0,500,5.0,0,0,1,0.6,0.08,50.0,21.0,200.0,1,0,0,300,27.89855254,2.66,79.3,88.9
0,1,0,10.0,4.0,500,5.0,0,0,1,1.8,0.08,50.0,21.0,200.0,1,0,0,300,20.87108474,2.66,71.9,80.0
0,1,0,10.0,4.0,500,5.0,0,0,1,6.0,0.08,50.0,21.0,200.0,1,0,0,300,19.20273294,2.63,67.3,55.3
0,1,0,10.0,4.0,500,5.0,0,0,0,0.0,0.08,50.0,12.0,200.0,0,0,1,30,13.2,2.69,61.5,61.7
0,1,0,10.0,4.0,500,5.0,0,0,1,0.3,0.08,50.0,12.0,200.0,0,0,1,30,15.94404866,2.68,76.4,83.2
0,1,0,10.0,4.0,500,5.0,0,0,1,0.6,0.08,50.0,12.0,200.0,0,0,1,30,16.42153572,2.66,78.2,92.9
0,1,0,10.0,4.0,500,5.0,0,0,1,6.0,0.08,50.0,12.0,200.0,0,0,1,30,16.5586089,2.63,73.7,79.7
1,0,0,20.0,2.0,600,5.0,0,0,0,0.0,0.02,26.42,2.2,1700.0,1,0,0,300,51.51357101,2.7,38.65,12.7
0,1,0,11.60696448,2.0,550,5.0,0,0,0,0.0,0.3,63.62,1.0,1000.0,0,1,0,150,3.0921,2.71,6.82,16.06
0,1,0,10.30340605,2.0,550,5.0,0,1,0,16.67,0.3,63.62,1.0,1000.0,0,1,0,150,16.97215789,2.745910457,8.38,23.74
